2024-10-25 17:30:02,112 - [Camera] - INFO - cam is initialized
2024-10-25 17:47:24,999 - [Camera] - INFO - cam is initialized
2024-10-25 17:47:30,968 - [Camera] - DEBUG - 345, 420
2024-10-25 17:47:32,117 - [Camera] - DEBUG - 360, 420
2024-10-25 17:47:33,195 - [Camera] - DEBUG - 375, 420
2024-10-25 17:47:34,274 - [Camera] - DEBUG - 394, 420
2024-10-25 17:47:35,372 - [Camera] - DEBUG - 419, 420
2024-10-25 17:47:48,175 - [Camera] - DEBUG - flag center: (125, 75)
2024-10-25 17:47:52,901 - [Camera] - DEBUG - flag center: (139, 100)
2024-10-25 17:47:54,612 - [Camera] - DEBUG - flag center: (169, 93)
2024-10-25 17:47:56,320 - [Camera] - DEBUG - flag center: (211, 90)
2024-10-25 17:47:58,031 - [Camera] - DEBUG - flag center: (230, 106)
2024-10-25 17:47:59,713 - [Camera] - DEBUG - flag center: (234, 89)
2024-10-25 17:48:01,425 - [Camera] - DEBUG - flag center: (244, 90)
2024-10-25 17:48:03,132 - [Camera] - DEBUG - flag center: (264, 85)
2024-10-25 17:48:04,840 - [Camera] - DEBUG - flag center: (294, 98)
2024-10-25 17:48:06,560 - [Camera] - DEBUG - flag center: (303, 100)
2024-10-25 17:48:08,281 - [Camera] - DEBUG - flag center: (329, 104)
2024-10-25 17:48:09,956 - [Camera] - DEBUG - flag center: (343, 106)
2024-10-25 17:48:11,658 - [Camera] - DEBUG - flag center: (359, 101)
2024-10-25 17:48:13,371 - [Camera] - DEBUG - flag center: (382, 118)
2024-10-25 17:48:15,085 - [Camera] - DEBUG - flag center: (398, 119)
2024-10-25 17:48:16,799 - [Camera] - DEBUG - flag center: (408, 117)
2024-10-25 17:48:18,515 - [Camera] - DEBUG - flag center: (442, 117)
2024-10-25 17:48:20,242 - [Camera] - DEBUG - flag center: (436, 130)
2024-10-25 17:48:21,955 - [Camera] - DEBUG - flag center: (421, 125)
2024-10-25 17:48:24,072 - [Camera] - DEBUG - [356, 124]
2024-10-25 17:53:46,337 - [Camera] - INFO - cam is initialized
2024-10-25 19:02:07,537 - [Camera] - INFO - cam is initialized
2024-10-25 19:02:13,628 - [Camera] - DEBUG - 368, 420
2024-10-25 19:02:14,742 - [Camera] - DEBUG - 397, 420
2024-10-25 19:02:15,917 - [Camera] - DEBUG - 423, 420
2024-10-25 19:02:28,722 - [Camera] - DEBUG - flag center: (103, 90)
2024-10-25 19:02:33,425 - [Camera] - DEBUG - flag center: (265, 83)
2024-10-25 19:02:35,130 - [Camera] - DEBUG - flag center: (307, 87)
2024-10-25 19:02:36,830 - [Camera] - DEBUG - flag center: (330, 81)
2024-10-25 19:02:38,535 - [Camera] - DEBUG - flag center: (364, 81)
2024-10-25 19:02:40,227 - [Camera] - DEBUG - flag center: (393, 96)
2024-10-25 19:02:41,939 - [Camera] - DEBUG - flag center: (424, 103)
2024-10-25 19:02:44,045 - [Camera] - DEBUG - [143, 38]
2024-10-25 19:09:31,444 - [Camera] - INFO - cam is initialized
2024-10-25 19:09:37,440 - [Camera] - DEBUG - 332, 420
2024-10-25 19:09:38,619 - [Camera] - DEBUG - 353, 420
2024-10-25 19:09:39,689 - [Camera] - DEBUG - 370, 420
2024-10-25 19:09:40,766 - [Camera] - DEBUG - 396, 420
2024-10-25 19:09:41,862 - [Camera] - DEBUG - 416, 420
2024-10-25 19:09:54,630 - [Camera] - DEBUG - flag center: (40, 94)
2024-10-25 19:09:59,356 - [Camera] - DEBUG - flag center: (184, 93)
2024-10-25 19:10:01,048 - [Camera] - DEBUG - flag center: (228, 85)
2024-10-25 19:10:02,755 - [Camera] - DEBUG - flag center: (263, 69)
2024-10-25 19:10:04,464 - [Camera] - DEBUG - flag center: (303, 63)
2024-10-25 19:10:06,184 - [Camera] - DEBUG - flag center: (354, 62)
2024-10-25 19:10:07,897 - [Camera] - DEBUG - flag center: (376, 64)
2024-10-25 19:10:09,606 - [Camera] - DEBUG - flag center: (419, 68)
2024-10-25 19:10:11,727 - [Camera] - DEBUG - [144, 30]
2024-10-25 19:13:24,451 - [Camera] - INFO - cam is initialized
2024-10-25 19:13:30,494 - [Camera] - DEBUG - 345, 420
2024-10-25 19:13:31,616 - [Camera] - DEBUG - 366, 420
2024-10-25 19:13:32,789 - [Camera] - DEBUG - 390, 420
2024-10-25 19:13:33,872 - [Camera] - DEBUG - 416, 420
2024-10-25 19:13:46,666 - [Camera] - DEBUG - flag center: (70, 79)
2024-10-25 19:13:51,387 - [Camera] - DEBUG - flag center: (592, 85)
2024-10-25 19:13:53,091 - [Camera] - DEBUG - flag center: (577, 93)
2024-10-25 19:13:54,799 - [Camera] - DEBUG - flag center: (556, 80)
2024-10-25 19:13:56,474 - [Camera] - DEBUG - flag center: (529, 65)
2024-10-25 19:13:58,185 - [Camera] - DEBUG - flag center: (503, 63)
2024-10-25 19:13:59,888 - [Camera] - DEBUG - flag center: (473, 48)
2024-10-25 19:14:01,598 - [Camera] - DEBUG - flag center: (462, 46)
2024-10-25 19:14:03,314 - [Camera] - DEBUG - flag center: (424, 37)
2024-10-25 19:14:08,586 - [Camera] - DEBUG - 488, 420
2024-10-25 19:14:09,683 - [Camera] - DEBUG - 492, 420
2024-10-25 19:14:10,794 - [Camera] - DEBUG - 451, 420
2024-10-25 19:14:11,904 - [Camera] - DEBUG - 411, 420
2024-10-25 19:14:23,046 - [Camera] - DEBUG - flag center: (505, 80)
2024-10-25 19:14:28,570 - [Camera] - DEBUG - flag center: (64, 201)
2024-10-25 19:14:33,301 - [Camera] - DEBUG - flag center: (145, 65)
2024-10-25 19:14:35,011 - [Camera] - DEBUG - flag center: (199, 54)
2024-10-25 19:14:36,726 - [Camera] - DEBUG - flag center: (239, 45)
2024-10-25 19:14:38,440 - [Camera] - DEBUG - flag center: (289, 43)
2024-10-25 19:14:40,157 - [Camera] - DEBUG - flag center: (320, 49)
2024-10-25 19:14:41,871 - [Camera] - DEBUG - flag center: (359, 45)
2024-10-25 19:14:43,548 - [Camera] - DEBUG - flag center: (393, 51)
2024-10-25 19:14:45,259 - [Camera] - DEBUG - flag center: (429, 45)
2024-10-25 19:14:47,366 - [Camera] - DEBUG - [161, 21]
2024-10-25 19:14:49,078 - [Camera] - DEBUG - [106, 269]
2024-10-25 19:14:50,791 - [Camera] - DEBUG - [104, 316]
2024-10-25 19:14:52,467 - [Camera] - DEBUG - [59, 364]
2024-10-25 19:14:54,176 - [Camera] - DEBUG - [173, 363]
2024-10-25 19:14:59,368 - [Camera] - DEBUG - 363, 420
2024-10-25 19:15:13,390 - [Camera] - DEBUG - 477, 420
2024-10-25 19:15:40,087 - [Camera] - INFO - cam is initialized
2024-10-25 19:15:46,092 - [Camera] - DEBUG - 365, 420
2024-10-25 19:15:47,159 - [Camera] - DEBUG - 394, 420
2024-10-25 19:15:48,316 - [Camera] - DEBUG - 429, 420
2024-10-25 19:16:25,302 - [Camera] - INFO - cam is initialized
2024-10-25 19:16:31,272 - [Camera] - DEBUG - 398, 420
2024-10-25 19:16:32,466 - [Camera] - DEBUG - 433, 420
2024-10-25 19:16:33,594 - [Camera] - DEBUG - 389, 420
2024-10-25 19:16:34,692 - [Camera] - DEBUG - 435, 420
2024-10-25 19:16:35,758 - [Camera] - DEBUG - 384, 420
2024-10-25 19:16:36,849 - [Camera] - DEBUG - 425, 420
2024-10-25 19:16:45,271 - [Camera] - DEBUG - flag center: (563, 66)
2024-10-25 19:16:52,419 - [Camera] - DEBUG - flag center: (183, 136)
2024-10-25 19:16:58,965 - [Camera] - DEBUG - flag center: (543, 76)
2024-10-25 19:17:00,681 - [Camera] - DEBUG - flag center: (544, 74)
2024-10-25 19:17:02,366 - [Camera] - DEBUG - flag center: (531, 57)
2024-10-25 19:17:04,077 - [Camera] - DEBUG - flag center: (505, 47)
2024-10-25 19:17:05,781 - [Camera] - DEBUG - flag center: (494, 39)
2024-10-25 19:17:07,503 - [Camera] - DEBUG - flag center: (490, 30)
